"","Taxon","site_code","mean.before.control.0","mean.before.drought.0","mean.after.control.0","mean.after.drought.0","drought.after.before","control.after.before","cover.change","leafN.mg.g","height.m","rootN.mg.g","SLA_m2.kg","root.depth_m","RTD.g.cm3","SRL_m.g","rootDiam.mm","local_lifeform","local_lifespan","functional_group"
"1","ACAENA ECHINATA","jilpanger.au",1.8,0.5,5.3,0.5,0,3.5,-3.5,NA,0.17865,NA,13.19,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"2","ACAENA PINNATIFIDA","paike.ar",0,1,0,1,0,0,0,NA,0.025,NA,9.38,NA,NA,NA,NA,"FORB","PERENNIAL","FORB"
"3","ACHILLEA MILLEFOLIUM","kernb.ca",1,2,1.333333333,2.666666667,0.666666667,0.333333333,0.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"4","ACHILLEA MILLEFOLIUM","hard.us",0,6.25,1,2,-4.25,1,-5.25,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"5","ACHILLEA MILLEFOLIUM","oreac.us",4.833333333,0.666666667,2.666666667,1.833333333,1.166666667,-2.166666667,3.333333333,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"6","ACHILLEA MILLEFOLIUM","allmendo.ch",0.75,1.375,1.25,0.75,-0.625,0.5,-1.125,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"7","ACHILLEA MILLEFOLIUM","matador.ca",0.75,0.5,0.5,1,0.5,-0.25,0.75,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"8","ACHILLEA MILLEFOLIUM","cedartrait.us",3.5,1,1,1,0,-2.5,2.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"9","ACHILLEA MILLEFOLIUM","allmendb.ch",1.333333333,1.875,1.833333333,1.25,-0.625,0.5,-1.125,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"10","ACHILLEA MILLEFOLIUM","rhijn.nl",1,0,1,0,0,0,0,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"11","ACHILLEA MILLEFOLIUM","brookdale.ca",5,5,1,1.5,-3.5,-4,0.5,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"12","ACHILLEA MILLEFOLIUM","cmss.us",0,20,2,0,-20,2,-22,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"13","ACHILLEA MILLEFOLIUM","elvadrt.ee",5,3.666666667,2,6.666666667,3,-3,6,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"14","ACHILLEA MILLEFOLIUM","kernnu.ca",0.5,0,0.5,0,0,0,0,19.234,0.559,4.8,7.859942857,0.2032,0.138977909,35.26726667,0.26778,"FORB","PERENNIAL","FORB"
"16","AGASTACHE FOENICULUM","brookdale.ca",0,8.333333333,0,1.5,-6.833333333,0,-6.833333333,14.7,NA,NA,15.29,0.124,0.18,56.33396667,0.42,"FORB","PERENNIAL","FORB"
"17","AGRIMONIA EUPATORIA","elvadrt.ee",0,1,0,1,0,0,0,14.78,0.087,14.78,13.66,1.55,0.1143,NA,NA,"FORB","PERENNIAL","FORB"
"18","AGROSTIS CANINA","lygraold.no",0,1,0,2,1,0,1,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
"19","AGROSTIS CANINA","lygraint.no",1,1,1,1,0,0,0,20.86288625,0.4223,9.3,33.1583154,0.254,NA,NA,0.15,"GRASS","PERENNIAL","GRASS"
