,site_code,Taxon,mean.before.control,mean.before.drought,mean.after.control,mean.after.drought,drought.after.minus.before,control.after.minus.before,cover.change,leafN.mg.g,height.m,rootN.mg.g,SLA_m2.kg,root.depth_m,RTD.all.g.cm3,SRL.all.m.g,rootDiam.mm,SRL_fine_m.g,RTD.fine.g.cm3,RMF.g.g,RTD.groot.cahill.merge,SRL.groot.cahill.merge,Notes,X.1,X.2,X.3,X.4,X.5,X.6,local_lifespan,local_lifeform,functional_group
1,milparinka.au,ABUTILON HALOPHILUM,12.5,3,12.5,3,0,0,0,NA,1,NA,7.966675479,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,PERENNIAL,SUBSHRUB,WOODY
13,quilpie.au,ABUTILON HALOPHILUM,21.66666667,18.33333333,5.666666667,5,-13.33333333,-16,2.666666673,NA,1,NA,7.966675479,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,PERENNIAL,SUBSHRUB,WOODY
25,gmmolar.us,ACACIA GREGGII,0.5,0.5,0,0,-0.5,-0.5,0,30.38475,7.78785,NA,34.95352095,5.5,NA,52.9631553,NA,NA,NA,0.248572826,NA,52.9631553,"SRL, RMF from groot","leafN, height, SLA from Carmona 2021",depth from Stromberg 2013,,,,,PERENNIAL,TREE,LEGUME
27,jilpanger.au,ACAENA ECHINATA,1.8,0.5,5.3,0.5,0,3.5,-3.5,NA,0.3384125,NA,13.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,"height, SLA from austraits",,,,,,,PERENNIAL,FORB,FORB
48,paike.ar,ACAENA POEPPIGIANA,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
78,ukulingadrt.za,ACALYPHA ANGUSTATA,3,0,0,2,2,-3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,PERENNIAL,FORB,FORB
81,nnss.us,ACAMPTOPAPPUS SHOCKLEYI,3.0864198,1.4285714,1.5120275,1.3774105,-0.0511609,-1.5743923,1.5232314,24.8,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,leafN from TRY,depth from groot,,,,,,PERENNIAL,SHRUB,WOODY
85,cowidrt.ca,ACER MACROPHYLLUM,0,0,2,1,1,2,-1,26.4,20.17066667,15,29.548,0.6096,NA,NA,NA,NA,NA,NA,NA,NA,"leafN, height, SLA, depth from TRY",rootN from groot,,,,,,PERENNIAL,TREE,WOODY
92,matador.ca,ACHILLEA MILLEFOLIUM,0.75,0.5,0.5,1,0.5,-0.25,0.75,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,,PERENNIAL,FORB,FORB
107,oreac.us,ACHILLEA MILLEFOLIUM,4.833333333,0.666666667,2.666666667,1.833333333,1.166666666,-2.166666666,3.333333332,16.44,0.1575,8.489473684,30.38,0.2032,0.381426816,45.18282621,0.738525,116.0295267,0.210703923,0.553384646,0.210703923,116.0295267,"height, SLA, rootDiam from Larson, J.E.J. (2021). Managing Grasslands for Future Environmental Change: The Role of Plant Regeneration Ecology (Doctoral dissertation, University of Colorado at Boulder).","rootN, RTD, SRL from Cahill_Albert_https://doi.org/10.7939/r3-wszy-4x39","depth, RTD fine from TRY",RMF from groot,SRL fine from CoREE,,,PERENNIAL,FORB,FORB
